Date,Description,Amount,Type,Predicted_Label
2025-06-09,RD Installment at Axis Bank,15146,DEBIT,SAVINGS
2025-06-23,RD Installment at PNB,6019,DEBIT,SAVINGS
2025-06-05,Subscription Renewal - Netflix,19696,DEBIT,EXPENSE
2025-06-14,LIC Premium Payment,41599,DEBIT,SAVINGS
2025-06-13,Maturity Proceeds from NPS,41807,DEBIT,SAVINGS
2025-06-20,Transfer to Fixed Deposit,40399,DEBIT,SAVINGS
2025-06-04,Electricity Bill Payment,7238,DEBIT,EXPENSE
2025-06-14,Gift received from Family,17045,CREDIT,INCOME
2025-06-25,Sweep-in to Savings,24242,DEBIT,SAVINGS
2025-06-26,Goal Based Savings Transfer,40206,DEBIT,SAVINGS
2025-06-02,Electricity Bill Payment,14532,DEBIT,EXPENSE
2025-06-16,FD Creation at Axis Bank,14567,DEBIT,SAVINGS
2025-06-15,Consulting payment from TCS,24247,CREDIT,INCOME
2025-06-19,LIC Premium Payment,47661,DEBIT,SAVINGS
2025-06-10,POS/AMAZON IN/Online Shopping,14484,DEBIT,EXPENSE
2025-06-25,Transfer to PPF Account,30155,DEBIT,SAVINGS
2025-06-09,LIC Premium Payment,13010,DEBIT,SAVINGS
2025-06-07,Goal Based Savings Transfer,9147,DEBIT,SAVINGS
2025-06-01,Credit Card Bill Payment,8768,DEBIT,EXPENSE
2025-06-22,POS/AMAZON IN/Online Shopping,16510,DEBIT,EXPENSE
2025-06-24,Fixed Deposit opened at SBI,30849,DEBIT,SAVINGS
2025-06-01,Credit Card Bill Payment,17793,DEBIT,EXPENSE
2025-06-07,SIP to UTI Flexi Cap,18583,DEBIT,SAVINGS
2025-06-09,Fuel Purchase at Myntra,205,DEBIT,EXPENSE
2025-06-16,UPI payment to Big Bazaar,9448,DEBIT,EXPENSE
2025-06-16,Medical Consultation at Apollo Pharmacy,12703,DEBIT,EXPENSE
2025-06-09,Interest from Savings Account,67608,CREDIT,INCOME
2025-06-08,Interest from Savings Account,3197,CREDIT,INCOME
2025-06-14,Transfer to Recurring Deposit,49237,DEBIT,SAVINGS
2025-06-06,Transfer to PPF Account,27751,DEBIT,SAVINGS
2025-06-18,Gift received from Family,4423,CREDIT,INCOME
2025-06-20,Credit Card Bill Payment,2571,DEBIT,EXPENSE
2025-06-28,Sweep-in to Savings,14673,DEBIT,SAVINGS
2025-06-18,PPF Deposit,29711,DEBIT,SAVINGS
2025-06-13,Transfer to NPS Account,28634,DEBIT,SAVINGS
2025-06-26,Credit Card Bill Payment,9088,DEBIT,EXPENSE
2025-06-15,Sweep-in to Savings,47713,DEBIT,SAVINGS
2025-06-17,Transfer to Education Fund,38862,DEBIT,SAVINGS
2025-06-28,Gift received from Family,34641,CREDIT,INCOME
2025-06-19,Auto Sweep to FD,15021,DEBIT,SAVINGS
2025-06-23,POS/AMAZON IN/Online Shopping,4077,DEBIT,EXPENSE
2025-06-26,Medical Consultation at Big Bazaar,19648,DEBIT,EXPENSE
2025-06-21,Closure Proceeds from RD,37699,DEBIT,SAVINGS
2025-06-16,Transfer to Fixed Deposit,40532,DEBIT,SAVINGS
2025-06-21,Transfer to Fixed Deposit,3879,DEBIT,SAVINGS
2025-06-19,Transfer to Child Plan,46220,DEBIT,SAVINGS
2025-06-21,Auto Sweep to FD,40908,DEBIT,SAVINGS
2025-06-25,Transfer to NPS Account,27978,DEBIT,SAVINGS
2025-06-01,Medical Consultation at Flipkart,17524,DEBIT,EXPENSE
2025-06-10,Gift received from Family,58689,CREDIT,INCOME
2025-06-19,Transfer to Recurring Deposit,5531,DEBIT,SAVINGS
2025-06-14,LIC Premium Payment,9799,DEBIT,SAVINGS
2025-06-27,Fixed Deposit opened at ICICI Bank,22999,DEBIT,SAVINGS
2025-06-10,Recurring Deposit started at SBI,29421,DEBIT,SAVINGS
2025-06-02,FD Creation at PNB,16426,DEBIT,SAVINGS
2025-06-18,Recurring Deposit started at PNB,13286,DEBIT,SAVINGS
2025-06-20,Fuel Purchase at Big Bazaar,8179,DEBIT,EXPENSE
2025-06-20,Mutual Fund Investment - HDFC Top 100,40364,DEBIT,SAVINGS
2025-06-28,Consulting payment from ABC Corp,83999,CREDIT,INCOME
2025-06-10,Refund from Amazon,89178,CREDIT,INCOME
2025-06-16,Fuel Purchase at Flipkart,2001,DEBIT,EXPENSE
2025-06-05,Mutual Fund Investment - ICICI Prudential,24600,DEBIT,SAVINGS
2025-06-05,Transfer to NPS Account,27209,DEBIT,SAVINGS
2025-06-10,Transfer to Recurring Deposit,49241,DEBIT,SAVINGS
2025-06-22,Grocery Shopping at Myntra,12439,DEBIT,EXPENSE
2025-06-11,SIP to UTI Flexi Cap,16848,DEBIT,SAVINGS
2025-06-22,Transfer to Fixed Deposit,22185,DEBIT,SAVINGS
2025-06-15,Auto Sweep to FD,23241,DEBIT,SAVINGS
2025-06-24,NPS Contribution,34569,DEBIT,SAVINGS
2025-06-03,Maturity Proceeds from PPF,33501,DEBIT,SAVINGS
2025-06-17,Dining Out at Big Bazaar,16739,DEBIT,EXPENSE
2025-06-02,Maturity Proceeds from RD,30926,DEBIT,SAVINGS
2025-06-21,Goal Based Savings Transfer,12133,DEBIT,SAVINGS
2025-06-01,Award for best employee,95848,CREDIT,INCOME
2025-06-20,Fuel Purchase at Cafe Coffee Day,1685,DEBIT,EXPENSE
2025-06-16,Transfer to NPS Account,26499,DEBIT,SAVINGS
2025-06-10,Dividend from Mutual Fund,96381,CREDIT,INCOME
2025-06-11,Transfer to Education Fund,26911,DEBIT,SAVINGS
2025-06-05,PPF Deposit,39132,DEBIT,SAVINGS
2025-06-24,Credit Card Bill Payment,5449,DEBIT,EXPENSE
2025-06-05,LIC Premium Payment,28305,DEBIT,SAVINGS
2025-06-03,RD Installment at PNB,45683,DEBIT,SAVINGS
2025-06-25,Refund from Amazon,63992,CREDIT,INCOME
2025-06-25,Closure Proceeds from RD,35902,DEBIT,SAVINGS
2025-06-05,PPF Deposit,9471,DEBIT,SAVINGS
2025-06-07,Credit Card Bill Payment,9606,DEBIT,EXPENSE
2025-06-19,Interest from Savings Account,13188,CREDIT,INCOME
2025-06-09,Salary credited from XYZ Pvt Ltd,54280,CREDIT,INCOME
2025-06-23,Transfer to Fixed Deposit,24173,DEBIT,SAVINGS
2025-06-09,Closure Proceeds from FD,27804,DEBIT,SAVINGS
2025-06-04,Gift received from Family,85840,CREDIT,INCOME
2025-06-15,Maturity Proceeds from FD,6459,DEBIT,SAVINGS
2025-06-22,Transfer to Recurring Deposit,12105,DEBIT,SAVINGS
2025-06-01,FD Creation at HDFC Bank,26264,DEBIT,SAVINGS
2025-06-02,Award for best employee,97482,CREDIT,INCOME
2025-06-03,Transfer to Recurring Deposit,16737,DEBIT,SAVINGS
2025-06-24,Refund from Amazon,92517,CREDIT,INCOME
2025-06-28,Recurring Deposit started at Axis Bank,12578,DEBIT,SAVINGS
2025-06-26,Closure Proceeds from LIC Policy,9943,DEBIT,SAVINGS
2025-06-28,Fixed Deposit opened at SBI,25161,DEBIT,SAVINGS
2025-06-15,FD Creation at SBI,46285,DEBIT,SAVINGS
2025-06-22,SIP to UTI Flexi Cap,36930,DEBIT,SAVINGS
2025-06-26,Electricity Bill Payment,970,DEBIT,EXPENSE
2025-06-23,Electricity Bill Payment,12251,DEBIT,EXPENSE
2025-06-27,Fixed Deposit opened at HDFC Bank,26061,DEBIT,SAVINGS
2025-06-08,Transfer to Fixed Deposit,31960,DEBIT,SAVINGS
2025-06-12,PPF Deposit,15619,DEBIT,SAVINGS
2025-06-17,Mutual Fund Investment - SBI Magnum,21733,DEBIT,SAVINGS
2025-06-02,Dividend from Mutual Fund,55320,CREDIT,INCOME
2025-06-04,RD Installment at SBI,32296,DEBIT,SAVINGS
2025-06-21,Auto Sweep to FD,34480,DEBIT,SAVINGS
2025-06-07,RD Installment at SBI,21674,DEBIT,SAVINGS
2025-06-13,Maturity Proceeds from FD,24620,DEBIT,SAVINGS
2025-06-28,Fixed Deposit opened at HDFC Bank,27849,DEBIT,SAVINGS
2025-06-01,Subscription Renewal - Netflix,12465,DEBIT,EXPENSE
2025-06-01,Refund from Amazon,70191,CREDIT,INCOME
2025-06-15,Recurring Deposit started at SBI,30146,DEBIT,SAVINGS
2025-06-17,Interest from Savings Account,69527,CREDIT,INCOME
2025-06-11,Closure Proceeds from PPF,11759,DEBIT,SAVINGS
2025-06-19,NPS Contribution,7702,DEBIT,SAVINGS
2025-06-23,Electricity Bill Payment,9185,DEBIT,EXPENSE
2025-06-25,Salary credited from XYZ Pvt Ltd,34998,CREDIT,INCOME
2025-06-02,Salary credited from INFOSYS LTD,36044,CREDIT,INCOME
2025-06-08,Auto Sweep to FD,32085,DEBIT,SAVINGS
2025-06-22,Transfer to NPS Account,34432,DEBIT,SAVINGS
2025-06-23,Transfer to Fixed Deposit,25364,DEBIT,SAVINGS
2025-06-08,SIP to UTI Flexi Cap,35801,DEBIT,SAVINGS
2025-06-05,Goal Based Savings Transfer,17098,DEBIT,SAVINGS
2025-06-19,Transfer to Child Plan,30373,DEBIT,SAVINGS
2025-06-04,NPS Contribution,30755,DEBIT,SAVINGS
2025-06-27,Transfer to Child Plan,49152,DEBIT,SAVINGS
2025-06-25,Investment in UTI Flexi Cap,29186,DEBIT,SAVINGS
2025-06-05,Transfer to Education Fund,7480,DEBIT,SAVINGS
2025-06-09,Sweep-in to Savings,4416,DEBIT,SAVINGS
2025-06-25,RD Installment at Axis Bank,27514,DEBIT,SAVINGS
2025-06-23,Goal Based Savings Transfer,28352,DEBIT,SAVINGS
2025-06-06,Closure Proceeds from NPS,29520,DEBIT,SAVINGS
2025-06-10,UPI payment to Apollo Pharmacy,13301,DEBIT,EXPENSE
2025-06-03,Transfer to Fixed Deposit,25576,DEBIT,SAVINGS
2025-06-21,Interest from Savings Account,10250,CREDIT,INCOME
2025-06-21,Closure Proceeds from NPS,46560,DEBIT,SAVINGS
2025-06-07,Transfer to Child Plan,14988,DEBIT,SAVINGS
2025-06-03,SIP to HDFC Top 100,33561,DEBIT,SAVINGS
2025-06-04,Gift received from Family,24415,CREDIT,INCOME
2025-06-01,Transfer to NPS Account,42525,DEBIT,SAVINGS
2025-06-24,Refund from Amazon,36241,CREDIT,INCOME
2025-06-24,Mutual Fund Investment - HDFC Top 100,29465,DEBIT,SAVINGS
2025-06-16,Medical Consultation at Big Bazaar,12419,DEBIT,EXPENSE
2025-06-21,Goal Based Savings Transfer,3006,DEBIT,SAVINGS
2025-06-01,Goal Based Savings Transfer,10509,DEBIT,SAVINGS
2025-06-02,Recurring Deposit started at HDFC Bank,36509,DEBIT,SAVINGS
2025-06-22,Refund from Amazon,85312,CREDIT,INCOME
2025-06-11,RD Installment at ICICI Bank,33441,DEBIT,SAVINGS
2025-06-12,Recurring Deposit started at PNB,7850,DEBIT,SAVINGS
2025-06-13,Mutual Fund Investment - Axis Bluechip,45297,DEBIT,SAVINGS
2025-06-24,FD Creation at HDFC Bank,38519,DEBIT,SAVINGS
2025-06-16,Medical Consultation at Indian Oil,3622,DEBIT,EXPENSE
2025-06-05,Investment in ICICI Prudential,31709,DEBIT,SAVINGS
2025-06-03,PPF Deposit,19800,DEBIT,SAVINGS
2025-06-01,Maturity Proceeds from PPF,46477,DEBIT,SAVINGS
2025-06-18,ATM Cash Withdrawal,14916,DEBIT,EXPENSE
2025-06-27,Dining Out at Myntra,12116,DEBIT,EXPENSE
2025-06-18,Credit Card Bill Payment,10638,DEBIT,EXPENSE
2025-06-02,Salary credited from XYZ Pvt Ltd,38588,CREDIT,INCOME
2025-06-13,Transfer to Education Fund,3596,DEBIT,SAVINGS
2025-06-22,NPS Contribution,6345,DEBIT,SAVINGS
2025-06-08,Fixed Deposit opened at ICICI Bank,21514,DEBIT,SAVINGS
2025-06-08,POS/AMAZON IN/Online Shopping,2763,DEBIT,EXPENSE
2025-06-20,Refund from Amazon,35255,CREDIT,INCOME
2025-06-05,Transfer to NPS Account,32183,DEBIT,SAVINGS
2025-06-09,NPS Contribution,46831,DEBIT,SAVINGS
2025-06-12,Award for best employee,6685,CREDIT,INCOME
2025-06-20,Fixed Deposit opened at Axis Bank,31851,DEBIT,SAVINGS
2025-06-01,Investment in SBI Magnum,39699,DEBIT,SAVINGS
2025-06-02,Salary credited from TCS,22950,CREDIT,INCOME
2025-06-21,Transfer to PPF Account,5499,DEBIT,SAVINGS
2025-06-24,Gift received from Family,92976,CREDIT,INCOME
2025-06-10,Gift received from Family,14167,CREDIT,INCOME
2025-06-01,LIC Premium Payment,43966,DEBIT,SAVINGS
2025-06-14,Refund from Amazon,47647,CREDIT,INCOME
2025-06-27,Dividend from Mutual Fund,57646,CREDIT,INCOME
2025-06-17,NPS Contribution,28670,DEBIT,SAVINGS
2025-06-06,Interest from Savings Account,34628,CREDIT,INCOME
2025-06-23,POS/AMAZON IN/Online Shopping,10991,DEBIT,EXPENSE
2025-06-03,Grocery Shopping at Big Bazaar,4298,DEBIT,EXPENSE
2025-06-19,Electricity Bill Payment,16135,DEBIT,EXPENSE
2025-06-12,Transfer to PPF Account,23134,DEBIT,SAVINGS
2025-06-01,Award for best employee,66901,CREDIT,INCOME
2025-06-13,Refund from Amazon,84494,CREDIT,INCOME
2025-06-11,Medical Consultation at Myntra,16533,DEBIT,EXPENSE
2025-06-18,Grocery Shopping at Flipkart,9344,DEBIT,EXPENSE
2025-06-07,Closure Proceeds from LIC Policy,3141,DEBIT,SAVINGS
2025-06-04,Fixed Deposit opened at Axis Bank,43355,DEBIT,SAVINGS
2025-06-07,PPF Deposit,47430,DEBIT,SAVINGS
2025-06-04,Medical Consultation at Flipkart,4067,DEBIT,EXPENSE
2025-06-01,LIC Premium Payment,41700,DEBIT,SAVINGS
2025-06-10,Gift received from Family,5202,CREDIT,INCOME
2025-06-02,Subscription Renewal - Netflix,14089,DEBIT,EXPENSE
2025-06-04,Consulting payment from INFOSYS LTD,79830,CREDIT,INCOME
2025-06-08,LIC Premium Payment,7774,DEBIT,SAVINGS
2025-06-19,UPI payment to Indian Oil,18887,DEBIT,EXPENSE
2025-06-17,Transfer to PPF Account,45176,DEBIT,SAVINGS
2025-06-01,Dividend from Mutual Fund,94062,CREDIT,INCOME
2025-06-03,Gift received from Family,20857,CREDIT,INCOME
2025-06-01,Mutual Fund Investment - ICICI Prudential,26530,DEBIT,SAVINGS
2025-06-04,Gift received from Family,13274,CREDIT,INCOME
2025-06-02,Fuel Purchase at Apollo Pharmacy,11729,DEBIT,EXPENSE
2025-06-23,Transfer to Education Fund,23230,DEBIT,SAVINGS
2025-06-07,Transfer to Child Plan,32548,DEBIT,SAVINGS
2025-06-10,Refund from Amazon,42589,CREDIT,INCOME
2025-06-26,Mutual Fund Investment - HDFC Top 100,26332,DEBIT,SAVINGS
2025-06-19,Gift received from Family,29730,CREDIT,INCOME
2025-06-05,Transfer to NPS Account,8701,DEBIT,SAVINGS
2025-06-16,UPI payment to Big Bazaar,6403,DEBIT,EXPENSE
2025-06-01,Transfer to Education Fund,16545,DEBIT,SAVINGS
2025-06-19,Subscription Renewal - Netflix,10136,DEBIT,EXPENSE
2025-06-03,ATM Cash Withdrawal,10614,DEBIT,EXPENSE
2025-06-19,Sweep-in to Savings,37695,DEBIT,SAVINGS
2025-06-28,Dining Out at Myntra,17542,DEBIT,EXPENSE
2025-06-27,Subscription Renewal - Netflix,19179,DEBIT,EXPENSE
2025-06-28,Dividend from Mutual Fund,56594,CREDIT,INCOME
2025-06-18,RD Installment at SBI,19826,DEBIT,SAVINGS
2025-06-22,Fixed Deposit opened at SBI,47939,DEBIT,SAVINGS
2025-06-03,Consulting payment from XYZ Pvt Ltd,36741,CREDIT,INCOME
2025-06-25,Transfer to Education Fund,40049,DEBIT,SAVINGS
2025-06-13,Refund from Amazon,93805,CREDIT,INCOME
2025-06-12,Interest from Savings Account,59045,CREDIT,INCOME
2025-06-23,Mutual Fund Investment - HDFC Top 100,4175,DEBIT,SAVINGS
2025-06-19,Transfer to Fixed Deposit,7646,DEBIT,SAVINGS
2025-06-02,Auto Sweep to FD,46158,DEBIT,SAVINGS
2025-06-25,Recurring Deposit started at SBI,37606,DEBIT,SAVINGS
2025-06-07,Electricity Bill Payment,9126,DEBIT,EXPENSE
2025-06-14,Closure Proceeds from NPS,31514,DEBIT,SAVINGS
2025-06-17,Interest from Savings Account,65573,CREDIT,INCOME
2025-06-22,Grocery Shopping at Myntra,7816,DEBIT,EXPENSE
2025-06-10,Award for best employee,33593,CREDIT,INCOME
2025-06-03,Sweep-in to Savings,32977,DEBIT,SAVINGS
2025-06-25,UPI payment to Myntra,12816,DEBIT,EXPENSE
2025-06-03,Salary credited from INFOSYS LTD,21064,CREDIT,INCOME
2025-06-20,PPF Deposit,32426,DEBIT,SAVINGS
2025-06-22,Dining Out at Apollo Pharmacy,10389,DEBIT,EXPENSE
2025-06-18,Refund from Amazon,10119,CREDIT,INCOME
2025-06-26,LIC Premium Payment,7874,DEBIT,SAVINGS
2025-06-16,Transfer to NPS Account,27749,DEBIT,SAVINGS
2025-06-19,Electricity Bill Payment,19017,DEBIT,EXPENSE
2025-06-26,Sweep-in to Savings,22181,DEBIT,SAVINGS
2025-06-27,Transfer to Child Plan,10409,DEBIT,SAVINGS
2025-06-24,POS/AMAZON IN/Online Shopping,2333,DEBIT,EXPENSE
2025-06-23,Sweep-in to Savings,22425,DEBIT,SAVINGS
2025-06-06,Transfer to Recurring Deposit,13569,DEBIT,SAVINGS
2025-06-03,Auto Sweep to FD,9638,DEBIT,SAVINGS
2025-06-08,NPS Contribution,46380,DEBIT,SAVINGS
2025-06-25,Closure Proceeds from FD,7516,DEBIT,SAVINGS
2025-06-21,SIP to ICICI Prudential,32976,DEBIT,SAVINGS
2025-06-24,FD Creation at ICICI Bank,14056,DEBIT,SAVINGS
2025-06-11,Gift received from Family,23431,CREDIT,INCOME
2025-06-17,Closure Proceeds from LIC Policy,46153,DEBIT,SAVINGS
2025-06-21,ATM Cash Withdrawal,8242,DEBIT,EXPENSE
2025-06-16,Gift received from Family,82070,CREDIT,INCOME
2025-06-17,Transfer to PPF Account,20859,DEBIT,SAVINGS
2025-06-22,Refund from Amazon,7884,CREDIT,INCOME
2025-06-20,Transfer to Recurring Deposit,21214,DEBIT,SAVINGS
2025-06-19,POS/AMAZON IN/Online Shopping,18971,DEBIT,EXPENSE
2025-06-13,Dividend from Mutual Fund,96836,CREDIT,INCOME
2025-06-18,Goal Based Savings Transfer,46897,DEBIT,SAVINGS
2025-06-01,Electricity Bill Payment,7064,DEBIT,EXPENSE
2025-06-06,PPF Deposit,36561,DEBIT,SAVINGS
2025-06-14,Medical Consultation at Cafe Coffee Day,18165,DEBIT,EXPENSE
2025-06-13,Salary credited from TCS,46009,CREDIT,INCOME
2025-06-02,Refund from Amazon,3006,CREDIT,INCOME
2025-06-18,Mutual Fund Investment - Axis Bluechip,35877,DEBIT,SAVINGS
2025-06-19,SIP to ICICI Prudential,23155,DEBIT,SAVINGS
2025-06-11,RD Installment at Axis Bank,24985,DEBIT,SAVINGS
2025-06-06,FD Creation at HDFC Bank,14309,DEBIT,SAVINGS
2025-06-08,Transfer to PPF Account,24812,DEBIT,SAVINGS
2025-06-01,NPS Contribution,35323,DEBIT,SAVINGS
2025-06-02,Refund from Amazon,67663,CREDIT,INCOME
2025-06-12,UPI payment to Apollo Pharmacy,3203,DEBIT,EXPENSE
2025-06-27,RD Installment at SBI,17561,DEBIT,SAVINGS
2025-06-19,Refund from Amazon,49918,CREDIT,INCOME
2025-06-11,Salary credited from ABC Corp,48100,CREDIT,INCOME
2025-06-28,Fixed Deposit opened at PNB,2088,DEBIT,SAVINGS
2025-06-21,Credit Card Bill Payment,18692,DEBIT,EXPENSE
2025-06-19,Refund from Amazon,83210,CREDIT,INCOME
2025-06-17,RD Installment at ICICI Bank,47551,DEBIT,SAVINGS
2025-06-03,Award for best employee,68098,CREDIT,INCOME
2025-06-12,Investment in SBI Magnum,20748,DEBIT,SAVINGS
2025-06-25,FD Creation at PNB,17644,DEBIT,SAVINGS
2025-06-13,Closure Proceeds from LIC Policy,46761,DEBIT,SAVINGS
2025-06-21,RD Installment at HDFC Bank,22492,DEBIT,SAVINGS
2025-06-02,NPS Contribution,22722,DEBIT,SAVINGS
2025-06-28,Salary credited from TCS,64703,CREDIT,INCOME
2025-06-04,Interest from Savings Account,58544,CREDIT,INCOME
2025-06-14,Electricity Bill Payment,9128,DEBIT,EXPENSE
2025-06-05,Medical Consultation at Apollo Pharmacy,13079,DEBIT,EXPENSE
2025-06-16,Refund from Amazon,68277,CREDIT,INCOME
2025-06-01,POS/AMAZON IN/Online Shopping,14270,DEBIT,EXPENSE
2025-06-03,Transfer to Fixed Deposit,49611,DEBIT,SAVINGS
2025-06-15,Salary credited from ABC Corp,22213,CREDIT,INCOME
2025-06-23,Maturity Proceeds from LIC Policy,28335,DEBIT,SAVINGS
2025-06-25,Credit Card Bill Payment,9198,DEBIT,EXPENSE
2025-06-05,Electricity Bill Payment,18145,DEBIT,EXPENSE
2025-06-19,Recurring Deposit started at ICICI Bank,48415,DEBIT,SAVINGS
2025-06-05,Maturity Proceeds from NPS,35283,DEBIT,SAVINGS
2025-06-15,Fixed Deposit opened at ICICI Bank,20072,DEBIT,SAVINGS
2025-06-03,Fixed Deposit opened at HDFC Bank,9170,DEBIT,SAVINGS
2025-06-03,Mutual Fund Investment - ICICI Prudential,13157,DEBIT,SAVINGS
2025-06-21,Closure Proceeds from RD,45177,DEBIT,SAVINGS
2025-06-03,Subscription Renewal - Netflix,5120,DEBIT,EXPENSE
2025-06-11,Investment in SBI Magnum,26102,DEBIT,SAVINGS
2025-06-15,Transfer to Recurring Deposit,16530,DEBIT,SAVINGS
2025-06-21,Recurring Deposit started at PNB,26026,DEBIT,SAVINGS
2025-06-09,UPI payment to Big Bazaar,5014,DEBIT,EXPENSE
2025-06-11,Sweep-in to Savings,18774,DEBIT,SAVINGS
2025-06-19,Sweep-in to Savings,27933,DEBIT,SAVINGS
2025-06-25,PPF Deposit,42961,DEBIT,SAVINGS
2025-06-01,SIP to SBI Magnum,49871,DEBIT,SAVINGS
2025-06-18,Goal Based Savings Transfer,27261,DEBIT,SAVINGS
2025-06-17,Salary credited from INFOSYS LTD,90378,CREDIT,INCOME
2025-06-01,Investment in UTI Flexi Cap,19655,DEBIT,SAVINGS
2025-06-15,Transfer to Education Fund,33418,DEBIT,SAVINGS
2025-06-03,FD Creation at PNB,47956,DEBIT,SAVINGS
2025-06-01,Investment in Axis Bluechip,12104,DEBIT,SAVINGS
2025-06-08,Sweep-in to Savings,25387,DEBIT,SAVINGS
2025-06-28,UPI payment to Myntra,786,DEBIT,EXPENSE
2025-06-20,Transfer to Child Plan,2036,DEBIT,SAVINGS
2025-06-02,Investment in HDFC Top 100,32475,DEBIT,SAVINGS
2025-06-24,PPF Deposit,22678,DEBIT,SAVINGS
2025-06-28,Transfer to NPS Account,47863,DEBIT,SAVINGS
2025-06-14,ATM Cash Withdrawal,9031,DEBIT,EXPENSE
2025-06-07,Investment in ICICI Prudential,18193,DEBIT,SAVINGS
2025-06-28,Goal Based Savings Transfer,13959,DEBIT,SAVINGS
2025-06-07,Investment in Axis Bluechip,24457,DEBIT,SAVINGS
2025-06-26,Salary credited from XYZ Pvt Ltd,53894,CREDIT,INCOME
2025-06-12,Auto Sweep to FD,11726,DEBIT,SAVINGS
2025-06-03,Refund from Amazon,22663,CREDIT,INCOME
2025-06-13,RD Installment at SBI,46033,DEBIT,SAVINGS
2025-06-04,Transfer to Child Plan,33474,DEBIT,SAVINGS
2025-06-06,Medical Consultation at Flipkart,12457,DEBIT,EXPENSE
2025-06-27,PPF Deposit,20506,DEBIT,SAVINGS
2025-06-05,Transfer to Education Fund,22311,DEBIT,SAVINGS
2025-06-10,Salary credited from TCS,10808,CREDIT,INCOME
2025-06-16,Credit Card Bill Payment,4048,DEBIT,EXPENSE
2025-06-22,Award for best employee,59667,CREDIT,INCOME
2025-06-05,Award for best employee,9587,CREDIT,INCOME
2025-06-09,Maturity Proceeds from NPS,22004,DEBIT,SAVINGS
2025-06-04,NPS Contribution,42018,DEBIT,SAVINGS
2025-06-04,Auto Sweep to FD,11175,DEBIT,SAVINGS
2025-06-27,Transfer to NPS Account,15241,DEBIT,SAVINGS
2025-06-25,Refund from Amazon,96019,CREDIT,INCOME
2025-06-02,Electricity Bill Payment,18621,DEBIT,EXPENSE
2025-06-18,Transfer to Fixed Deposit,39471,DEBIT,SAVINGS
2025-06-26,Fuel Purchase at Apollo Pharmacy,4857,DEBIT,EXPENSE
2025-06-04,SIP to UTI Flexi Cap,41474,DEBIT,SAVINGS
2025-06-16,RD Installment at Axis Bank,5763,DEBIT,SAVINGS
2025-06-08,Gift received from Family,95593,CREDIT,INCOME
2025-06-10,Recurring Deposit started at ICICI Bank,17692,DEBIT,SAVINGS
2025-06-09,NPS Contribution,48541,DEBIT,SAVINGS
2025-06-01,Dividend from Mutual Fund,86175,CREDIT,INCOME
2025-06-17,Sweep-in to Savings,5741,DEBIT,SAVINGS
2025-06-22,Electricity Bill Payment,17378,DEBIT,EXPENSE
2025-06-01,FD Creation at ICICI Bank,37224,DEBIT,SAVINGS
2025-06-22,Consulting payment from ABC Corp,59181,CREDIT,INCOME
2025-06-09,Closure Proceeds from RD,12404,DEBIT,SAVINGS
2025-06-21,FD Creation at SBI,23646,DEBIT,SAVINGS
2025-06-07,Grocery Shopping at Apollo Pharmacy,19247,DEBIT,EXPENSE
2025-06-03,ATM Cash Withdrawal,11085,DEBIT,EXPENSE
2025-06-20,SIP to HDFC Top 100,20428,DEBIT,SAVINGS
2025-06-16,Transfer to NPS Account,23129,DEBIT,SAVINGS
2025-06-16,Dividend from Mutual Fund,75147,CREDIT,INCOME
2025-06-07,ATM Cash Withdrawal,10376,DEBIT,EXPENSE
2025-06-18,Medical Consultation at Indian Oil,18051,DEBIT,EXPENSE
2025-06-09,Subscription Renewal - Netflix,8472,DEBIT,EXPENSE
2025-06-16,Refund from Amazon,70957,CREDIT,INCOME
2025-06-18,Dining Out at Cafe Coffee Day,14254,DEBIT,EXPENSE
2025-06-28,LIC Premium Payment,32399,DEBIT,SAVINGS
2025-06-09,UPI payment to Cafe Coffee Day,11037,DEBIT,EXPENSE
2025-06-14,Award for best employee,37956,CREDIT,INCOME
2025-06-02,Gift received from Family,4106,CREDIT,INCOME
2025-06-17,Transfer to PPF Account,17128,DEBIT,SAVINGS
2025-06-13,Transfer to Recurring Deposit,40114,DEBIT,SAVINGS
2025-06-26,Fuel Purchase at Myntra,19231,DEBIT,EXPENSE
2025-06-21,Transfer to Education Fund,40635,DEBIT,SAVINGS
2025-06-06,SIP to ICICI Prudential,36910,DEBIT,SAVINGS
2025-06-07,Fuel Purchase at Big Bazaar,14295,DEBIT,EXPENSE
2025-06-24,Dining Out at Flipkart,16291,DEBIT,EXPENSE
2025-06-05,Sweep-in to Savings,15196,DEBIT,SAVINGS
2025-06-14,Consulting payment from INFOSYS LTD,4163,CREDIT,INCOME
2025-06-21,Interest from Savings Account,45344,CREDIT,INCOME
2025-06-03,Subscription Renewal - Netflix,3751,DEBIT,EXPENSE
2025-06-28,Fixed Deposit opened at Axis Bank,3570,DEBIT,SAVINGS
2025-06-11,Mutual Fund Investment - ICICI Prudential,43245,DEBIT,SAVINGS
2025-06-07,Transfer to Education Fund,23390,DEBIT,SAVINGS
2025-06-19,Transfer to NPS Account,30826,DEBIT,SAVINGS
2025-06-15,Auto Sweep to FD,6532,DEBIT,SAVINGS
2025-06-04,UPI payment to Cafe Coffee Day,6950,DEBIT,EXPENSE
2025-06-15,Transfer to Child Plan,26657,DEBIT,SAVINGS
2025-06-28,Gift received from Family,69987,CREDIT,INCOME
